DAPI	1	Nucleus
DAPI	2	Nucleus
DAPI	3	Nucleus
Texas Red	1	Red
CY5	1	CY5-1
CY5	2	CY5-2
CY5	3	CY5-3
Phase Contrast	1	Phase_Contrast
Phase Contrast	2	Phase_Contrast
Phase Contrast	3	Phase_Contrast
